experiment_id,scheme,topology_id,budget,manifest_size,run_count,query_count,mean_success_at_1,ci_success_at_1,first_fetch_relevant_rate,ci_first_fetch_relevant_rate,mean_manifest_fetch_index_success_only,mean_manifest_hit_at_5,mean_ndcg_at_5,mean_num_remote_probes,ci_num_remote_probes,mean_discovery_bytes,ci_discovery_bytes,mean_latency_ms,ci_latency_ms,relevant_domain_reached_at_1,ci_relevant_domain_reached_at_1,relevant_domain_reached_at_k,ci_relevant_domain_reached_at_k,best_object_chosen_given_relevant_domain,manifest_rescue_rate,effective_exported_summaries_total,effective_exported_summaries_per_domain_mean,source_run_ids
routing_main,predicates_only,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,0.179167,0.047917,1.420833,1.0,0.27465,1.729167,0.102135,254.875,14.721563,307.395833,42.203333,0.479167,0.064583,1.0,0.0,1.0,0.7375,64.0,8.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget8__manifest5__seed1__20260416_113501
routing_main,predicates_only,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,0.179167,0.047917,1.420833,1.0,0.27465,1.729167,0.102135,254.875,14.721563,307.395833,42.203333,0.479167,0.064583,1.0,0.0,1.0,0.7375,128.0,16.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_114152
routing_main,predicates_only,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,0.179167,0.047917,1.420833,1.0,0.27465,1.729167,0.102135,254.875,14.721563,307.395833,42.203333,0.479167,0.064583,1.0,0.0,1.0,0.7375,256.0,32.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget32__manifest5__seed1__20260416_114845
routing_main,random_admissible,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,0.195833,0.047917,1.408333,1.0,0.270133,1.675,0.118802,245.954167,16.646302,284.229167,36.11401,0.591667,0.060417,1.0,0.0,1.0,0.75,64.0,8.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget8__manifest5__seed1__20260416_115541
routing_main,random_admissible,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,0.195833,0.047917,1.408333,1.0,0.270133,1.675,0.118802,245.954167,16.646302,284.229167,36.11401,0.591667,0.060417,1.0,0.0,1.0,0.75,128.0,16.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_120230
routing_main,random_admissible,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,0.195833,0.047917,1.408333,1.0,0.270133,1.675,0.118802,245.954167,16.646302,284.229167,36.11401,0.591667,0.060417,1.0,0.0,1.0,0.75,256.0,32.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget32__manifest5__seed1__20260416_120920
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,0.175,0.047917,1.420833,1.0,0.27367,1.641667,0.141667,240.6625,17.585208,191.008333,25.908177,0.720833,0.05625,1.0,0.0,1.0,0.758333,64.0,8.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget8__manifest5__seed1__20260416_121610
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,0.175,0.047917,1.420833,1.0,0.27367,1.641667,0.141667,240.6625,17.585208,191.008333,25.908177,0.720833,0.05625,1.0,0.0,1.0,0.758333,128.0,16.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_122301
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,0.175,0.047917,1.420833,1.0,0.27367,1.641667,0.141667,240.6625,17.585208,191.008333,25.908177,0.720833,0.05625,1.0,0.0,1.0,0.758333,256.0,32.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget32__manifest5__seed1__20260416_122957
routing_main,flood,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,0.379167,0.0625,0.429167,1.0,0.405393,1.729167,0.106302,223.75,12.11349,263.454167,35.438437,0.479167,0.058333,1.0,0.0,1.0,0.429167,128.0,16.0,routing_main__flood__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_123646
routing_main,hiroute,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,0.204167,0.05,1.4875,1.0,0.2695,1.333333,0.077187,218.979167,11.703229,239.6875,33.642604,0.754167,0.052083,1.0,0.0,1.0,0.770833,64.0,8.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget8__manifest5__seed1__20260416_124340
routing_main,hiroute,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,0.175,0.047917,1.441667,1.0,0.269193,1.35,0.083385,227.758333,13.001406,240.825,32.846458,0.733333,0.054167,1.0,0.0,1.0,0.766667,128.0,16.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_125027
routing_main,hiroute,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,0.220833,0.052083,1.433333,1.0,0.275479,1.175,0.052083,204.3,8.907448,201.4625,26.066406,0.833333,0.045833,1.0,0.0,1.0,0.733333,256.0,32.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget32__manifest5__seed1__20260416_125717
routing_main,central_directory,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,130.408333,0.792344,83.525,6.269479,0.0,0.0,0.0,0.0,1.0,0.0,128.0,16.0,routing_main__central_directory__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_130408
