experiment_id,scheme,topology_id,budget,manifest_size,deadline_ms,success_before_deadline_rate,timeout_or_failure_rate,mean_latency_ms,mean_success_latency_ms,median_success_latency_ms
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,50,0.3375,0.6625,63.045833,63.045833,65.0
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,100,0.879167,0.120833,63.045833,63.045833,65.0
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,200,0.991667,0.008333,63.045833,63.045833,65.0
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,500,1.0,0.0,63.045833,63.045833,65.0
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,50,0.3375,0.6625,63.045833,63.045833,65.0
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,100,0.879167,0.120833,63.045833,63.045833,65.0
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,200,0.991667,0.008333,63.045833,63.045833,65.0
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,500,1.0,0.0,63.045833,63.045833,65.0
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,50,0.370833,0.629167,90.666667,90.666667,61.0
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,100,0.766667,0.233333,90.666667,90.666667,61.0
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,200,0.9375,0.0625,90.666667,90.666667,61.0
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,500,0.991667,0.008333,90.666667,90.666667,61.0
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,50,0.366667,0.633333,95.7,95.7,66.0
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,100,0.75,0.25,95.7,95.7,66.0
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,200,0.925,0.075,95.7,95.7,66.0
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,500,0.979167,0.020833,95.7,95.7,66.0
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,50,0.458333,0.541667,62.25,62.25,54.0
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,100,0.916667,0.083333,62.25,62.25,54.0
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,200,1.0,0.0,62.25,62.25,54.0
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,500,1.0,0.0,62.25,62.25,54.0
