experiment_id,scheme,topology_id,budget,run_count,query_count,mean_success_at_1,ci_success_at_1,mean_manifest_hit_at_5,mean_ndcg_at_5,mean_num_remote_probes,ci_num_remote_probes,mean_discovery_bytes,ci_discovery_bytes,mean_latency_ms,ci_latency_ms,source_run_ids
exp_routing_main_v2,hiroute,rf_3967_exodus,16,1,240,0.995833,0.00625,0.995833,0.984722,2.325,0.177135,351.345833,25.66849,271.520833,31.17651,exp_routing_main_v2__hiroute__smartcity_v2__rf_3967_exodus__budget16__seed1__20260316_111716
exp_routing_main_v2,oracle,rf_3967_exodus,16,1,240,1.0,0.0,1.0,1.0,1.0,0.0,116.966667,0.60651,121.533333,6.725781,exp_routing_main_v2__oracle__smartcity_v2__rf_3967_exodus__budget16__seed1__20260316_111715
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,8,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__inf_tag_forwarding__smartcity_v2__rf_3967_exodus__budget8__seed1__20260316_111715
exp_routing_main_v2,hiroute,rf_3967_exodus,8,1,240,1.0,0.0,1.0,0.991667,2.283333,0.177135,332.033333,25.764115,267.520833,29.543177,exp_routing_main_v2__hiroute__smartcity_v2__rf_3967_exodus__budget8__seed1__20260316_111715
exp_routing_main_v2,hiroute,rf_3967_exodus,64,1,240,1.0,0.0,1.0,0.994444,1.620833,0.104219,261.3625,15.8825,216.2,22.166198,exp_routing_main_v2__hiroute__smartcity_v2__rf_3967_exodus__budget64__seed1__20260316_111715
exp_routing_main_v2,flood,rf_3967_exodus,16,1,240,1.0,0.0,1.0,0.991667,2.1875,0.120833,255.975,14.766198,299.2375,23.887344,exp_routing_main_v2__flood__smartcity_v2__rf_3967_exodus__budget16__seed1__20260316_111716
exp_routing_main_v2,flat_iroute,rf_3967_exodus,32,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__flat_iroute__smartcity_v2__rf_3967_exodus__budget32__seed1__20260316_111716
exp_routing_main_v2,hiroute,rf_3967_exodus,32,1,240,1.0,0.0,1.0,0.994444,1.670833,0.108333,268.758333,18.625469,212.7375,25.995469,exp_routing_main_v2__hiroute__smartcity_v2__rf_3967_exodus__budget32__seed1__20260316_111715
exp_routing_main_v2,flat_iroute,rf_3967_exodus,8,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__flat_iroute__smartcity_v2__rf_3967_exodus__budget8__seed1__20260316_111716
exp_routing_main_v2,flat_iroute,rf_3967_exodus,64,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__flat_iroute__smartcity_v2__rf_3967_exodus__budget64__seed1__20260316_111715
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,32,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__inf_tag_forwarding__smartcity_v2__rf_3967_exodus__budget32__seed1__20260316_111715
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,64,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__inf_tag_forwarding__smartcity_v2__rf_3967_exodus__budget64__seed1__20260316_111716
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__flat_iroute__smartcity_v2__rf_3967_exodus__budget16__seed1__20260316_111716
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,1,240,1.0,0.0,1.0,0.992295,2.8625,0.197969,386.291667,26.726458,283.408333,26.604062,exp_routing_main_v2__inf_tag_forwarding__smartcity_v2__rf_3967_exodus__budget16__seed1__20260316_111715
