experiment_id,scheme,topology_id,budget,manifest_size,run_count,query_count,mean_success_at_1,ci_success_at_1,mean_manifest_hit_at_5,mean_ndcg_at_5,mean_num_remote_probes,ci_num_remote_probes,mean_discovery_bytes,ci_discovery_bytes,mean_latency_ms,ci_latency_ms,relevant_domain_reached_at_1,ci_relevant_domain_reached_at_1,relevant_domain_reached_at_k,ci_relevant_domain_reached_at_k,best_object_chosen_given_relevant_domain,manifest_rescue_rate,effective_exported_summaries_total,effective_exported_summaries_per_domain_mean,source_run_ids
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,1.0,0.315023,1.0,0.0,149.870833,0.545938,63.045833,4.410052,0.425,0.062552,0.425,0.064583,1.0,0.0,64.0,8.0,exp_routing_main_v3_compact__flat_iroute__smartcity_v3__rf_3967_exodus_compact__budget8__manifest5__seed1__20260317_162107
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,1.0,0.315023,1.0,0.0,149.870833,0.545938,63.045833,4.410052,0.425,0.062552,0.425,0.064583,1.0,0.0,128.0,16.0,exp_routing_main_v3_compact__flat_iroute__smartcity_v3__rf_3967_exodus_compact__budget16__manifest5__seed1__20260317_163248
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,1.0,0.315023,1.0,0.0,149.870833,0.545938,63.045833,4.410052,0.425,0.062552,0.425,0.064583,1.0,0.0,256.0,32.0,exp_routing_main_v3_compact__flat_iroute__smartcity_v3__rf_3967_exodus_compact__budget32__manifest5__seed1__20260317_164423
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,1.0,0.315023,1.0,0.0,149.870833,0.545938,63.045833,4.410052,0.425,0.062552,0.425,0.064583,1.0,0.0,64.0,8.0,exp_routing_main_v3_compact__inf_tag_forwarding__smartcity_v3__rf_3967_exodus_compact__budget8__manifest5__seed1__20260317_165608
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,1.0,0.315023,1.0,0.0,149.870833,0.545938,63.045833,4.410052,0.425,0.062552,0.425,0.064583,1.0,0.0,128.0,16.0,exp_routing_main_v3_compact__inf_tag_forwarding__smartcity_v3__rf_3967_exodus_compact__budget16__manifest5__seed1__20260317_170803
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,1.0,0.315023,1.0,0.0,149.870833,0.545938,63.045833,4.410052,0.425,0.062552,0.425,0.064583,1.0,0.0,256.0,32.0,exp_routing_main_v3_compact__inf_tag_forwarding__smartcity_v3__rf_3967_exodus_compact__budget32__manifest5__seed1__20260317_171945
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,1.0,0.406559,1.145833,0.04375,151.558333,6.36875,90.666667,11.776563,0.425,0.0625,0.570833,0.0625,1.0,0.0,128.0,16.0,exp_routing_main_v3_compact__flood__smartcity_v3__rf_3967_exodus_compact__budget16__manifest5__seed1__20260317_173143
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,8,5,1,240,1.0,0.0,1.0,0.422115,1.141667,0.043802,199.4625,8.587708,105.108333,15.898542,0.570833,0.060417,0.7125,0.05625,1.0,0.0,64.0,8.0,exp_routing_main_v3_compact__hiroute__smartcity_v3__rf_3967_exodus_compact__budget8__manifest5__seed1__20260317_173934
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,1.0,0.422115,1.070833,0.03125,186.670833,5.902187,95.7,13.990313,0.641667,0.058333,0.7125,0.054167,1.0,0.0,128.0,16.0,exp_routing_main_v3_compact__hiroute__smartcity_v3__rf_3967_exodus_compact__budget16__manifest5__seed1__20260317_174617
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,32,5,1,240,1.0,0.0,1.0,0.390497,1.0875,0.039635,189.145833,7.274896,84.954167,17.861771,0.55,0.058333,0.591667,0.060417,1.0,0.0,256.0,32.0,exp_routing_main_v3_compact__hiroute__smartcity_v3__rf_3967_exodus_compact__budget32__manifest5__seed1__20260318_002346
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,1,240,1.0,0.0,1.0,1.0,1.0,0.0,131.870833,0.516875,62.25,3.858958,0.0,0.0,0.0,0.0,1.0,0.0,128.0,16.0,exp_routing_main_v3_compact__central_directory__smartcity_v3__rf_3967_exodus_compact__budget16__manifest5__seed1__20260318_021931
